157.1083273074,2454.3308105469
55.0294014592,2470.2490234375
98.9846845343,2544.669921875
208.049563323,2684.7961425781
265.1532195066,2778.4028320312
91.0540635801,3391.4973144531
97.076383877,4208.9223632812
186.053953549,4252.845703125
116.0711307409,6968.3803710938
55.0545774621,6988.4560546875
98.059939021,7939.2172851562
106.0411271348,8710.2578125
60.0557535349,9610.65625
248.1276221218,9731.0166015625
63.0231873444,11191.7978515625
78.0465593476,13311.51953125
131.1294546819,13723.3115234375
115.0867782252,16290.4013671875
134.0365048105,17270.8046875
149.0597567265,24364.8359375
72.0808155398,24952.87890625
290.1517089585,30466.55859375
114.1027915955,44581.8828125
117.0331563661,129189.28125
89.0385829908,147716.109375
177.0546234927,182850.28125
145.0284030939,185800.96875


Hit 0:Neomycin,C23H46N6O13
Hit 1:Paromomycin,C23H45N5O14
Hit 2:Bestatin,C16H24N2O4
Hit 3:Paromomycin,C23H45N5O14
Hit 4:Bestatin,C16H24N2O4
Hit 5:Z-Gly-Pro,C15H18N2O5
Hit 6:Na-Benzenolarginine ethylester,C15H22N4O3
