103.0544781366,4856.5288085938
65.0387397543,4913.9682617188
151.0966545692,5095.2280273438
58.0654705797,5458.7651367188
121.0648657083,5915.1669921875
70.065086528,5992.5869140625
73.0284643869,6339.3735351562
214.1551919732,9453.833984375
95.0493319347,13086.396484375
86.09648573,14292.625
105.0334026635,14443.2841796875
53.0388087585,14696.1630859375
111.044256326,15284.8935546875
248.1277186323,15924.7744140625
72.0446666303,16545.224609375
106.0414313524,24318.115234375
91.0542083375,24710.01953125
63.0233313084,34342.734375
346.2151226578,35932.98046875
188.1758655576,41785.96875
78.0464640222,45887.54296875
133.086399821,48460.90234375
134.036683684,51185.9453125
72.080726488,60511.84765625
89.0593385424,98112.703125
171.1487822402,134416.546875
100.0753655887,214511.015625
364.2219518877,375673.5625
117.0331974158,395954.875
177.0547903166,409993.09375
145.0285083883,449095.78125
89.0386431304,459883.21875


