55.0546566593,1369.1138916016
77.0381818032,1373.1518554688
124.0503736303,1397.1807861328
63.0066719868,1581.6921386719
107.0489114061,1848.9445800781
117.0572449869,1964.9261474609
104.0500456044,2119.4702148438
110.0598471167,2121.7419433594
55.0182538077,2250.1953125
67.0545756988,2254.7800292969
152.0721631889,2286.1997070312
71.0733014144,2443.7971191406
122.0603702541,2536.8784179688
135.0445342939,2579.0983886719
134.0365517818,2959.8969726562
68.0498397015,3531.9741210938
78.0465946848,3729.1665039062
133.0529129593,5516.5620117188
53.0026121155,5937.55859375
65.0388080171,6011.30859375
81.0340740785,6118.7133789062
95.0494316998,6122.80859375
94.0648335666,6214.9912109375
93.0699016591,6751.375
149.0600648598,6996.0620117188
56.0497612525,7242.8286132812
148.1117117642,7867.2192382812
106.0651052896,8157.2553710938
103.054586303,9742.76171875
59.0494002305,10406.8232421875
118.0653040887,10445.1572265625
72.0805636763,12670.02734375
121.0649232676,13042.71484375
164.0709286063,13525.037109375
69.0335182723,13745.912109375
145.0283400038,18144.90234375
148.075890576,18874.91015625
117.0331289872,19235.416015625
91.0541776024,19490.353515625
120.0803832776,19719.1328125
148.0397299915,23873.654296875
89.0386387617,27263.623046875
53.0389328981,33550.203125
136.0760004624,44129.625
80.0495218122,55324.90234375
108.0443443517,61051.15234375
87.0439240291,84075.640625
166.0864359823,96677.6484375


Hit 0:Prowl(TM),C13H19N3O4
Hit 1:trans-4-Hydroxy-3-methoxycinnamate,C10H10O4
Hit 2:trans-4-Hydroxy-3-methoxycinnamate,C10H10O4
Hit 3:Caffeine,C8H10N4O2
Hit 4:Caffeine,C8H10N4O2
Hit 5:Glucuronate,C6H10O7
Hit 6:Glucuronate,C6H10O7
Hit 7:Minoxidil,C9H15N5O
Hit 8:trans-4-Hydroxy-3-methoxycinnamate,C10H10O4
